"BodySite","Purity","BestCluster"
"UBERON:skin of external ear",74.2243436754177,"10"
"UBERON:mouth",54.9450549450549,"9"
"UBERON:skin of elbow",35,"8"
"UBERON:feces",97.6190476190476,"4"
"UBERON:tooth",84.652278177458,"5"
"UBERON:gingiva",62.7450980392157,"6"
"UBERON:buccal mucosa",68.6274509803922,"7"
"UBERON:throat",43.0769230769231,"2"
"UBERON:hard palate",35.5,"7"
"UBERON:palatine tonsil",39.4088669950739,"9"
"UBERON:anterior nares",55.6149732620321,"10"
"UBERON:tongue",53.5211267605634,"9"
"UBERON:central vagina",43.8775510204082,"12"
"UBERON:posterior fornix of vagina",43.8775510204082,"12"
"UBERON:vaginal introitus",45.2631578947368,"12"
