"SampleID","body_site","cluster"
"1927.SRS018553.SRX020525.SRR044566","UBERON:skin of external ear","1"
"1927.SRS047327.SRX020568.SRR047012","UBERON:mouth","2"
"1927.SRS065711.SRX022228.SRR058091","UBERON:skin of elbow","3"
"1927.SRS011293.SRX020570.SRR045451","UBERON:skin of elbow","4"
"1927.SRS014659.SRX020511.SRR045649","UBERON:feces","4"
"1927.SRS063715.SRX022228.SRR058091","UBERON:skin of elbow","3"
"1927.SRS062799.SRX022228.SRR058091","UBERON:skin of elbow","3"
"1927.SRS015409.SRX020546.SRR043657","UBERON:tooth","5"
"1927.SRS014554.SRX020546.SRR043688","UBERON:tooth","5"
"1927.SRS014913.SRX020546.SRR043697","UBERON:gingiva","6"
"1927.SRS015293.SRX020554.SRR043723","UBERON:mouth","2"
"1927.SRS015186.SRX020554.SRR043835","UBERON:tooth","5"
"1927.SRS015978.SRX020577.SRR044044","UBERON:tooth","5"
"1927.SRS015786.SRX020539.SRR044133","UBERON:tooth","5"
"1927.SRS019908.SRX020516.SRR044299","UBERON:tooth","5"
"1927.SRS015929.SRX020510.SRR044608","UBERON:tooth","5"
"1927.SRS011569.SRX020661.SRR044839","UBERON:tooth","5"
"1927.SRS011470.SRX020659.SRR045000","UBERON:tooth","5"
"1927.SRS014655.SRX020543.SRR045582","UBERON:buccal mucosa","7"
"1927.SRS047193.SRX020543.SRR045592","UBERON:tooth","5"
"1927.SRS057450.SRX020511.SRR045629","UBERON:tooth","5"
"1927.SRS015530.SRX020547.SRR045768","UBERON:tooth","5"
"1927.SRS018651.SRX020575.SRR045818","UBERON:skin of elbow","8"
"1927.SRS056751.SRX020531.SRR046034","UBERON:gingiva","7"
"1927.SRS058246.SRX020670.SRR046264","UBERON:throat","9"
"1927.SRS055853.SRX020670.SRR046332","UBERON:tooth","5"
"1927.SRS051849.SRX020550.SRR046445","UBERON:tooth","5"
"1927.SRS062851.SRX020569.SRR046538","UBERON:gingiva","7"
"1927.SRS064493.SRX020569.SRR046544","UBERON:tooth","5"
"1927.SRS063603.SRX020569.SRR046607","UBERON:tooth","5"
"1927.SRS065310.SRX020569.SRR046608","UBERON:tooth","5"
"1927.SRS063400.SRX020569.SRR046613","UBERON:tooth","5"
"1927.SRS062514.SRX020569.SRR046614","UBERON:tooth","5"
"1927.SRS062468.SRX020532.SRR046898","UBERON:tooth","5"
"1927.SRS050239.SRX020568.SRR046942","UBERON:buccal mucosa","5"
"1927.SRS062399.SRX020532.SRR046978","UBERON:tooth","5"
"1927.SRS047983.SRX020568.SRR047007","UBERON:tooth","5"
"1927.SRS045364.SRX020568.SRR047011","UBERON:tooth","5"
"1927.SRS045460.SRX020540.SRR047263","UBERON:tooth","5"
"1927.SRS053819.SRX020578.SRR047308","UBERON:buccal mucosa","7"
"1927.SRS065675.SRX020548.SRR047337","UBERON:mouth","2"
"1927.SRS015129.SRX020546.SRR047377","UBERON:tooth","5"
"1927.SRS054649.SRX020554.SRR047393","UBERON:tooth","5"
"1927.SRS016074.SRX020516.SRR047426","UBERON:tooth","5"
"1927.SRS021549.SRX020675.SRR047802","UBERON:mouth","9"
"1927.SRS021565.SRX020675.SRR047804","UBERON:tooth","5"
"1927.SRS023071.SRX020675.SRR047833","UBERON:tooth","5"
"1927.SRS023436.SRX020678.SRR048020","UBERON:hard palate","6"
"1927.SRS050412.SRX020670.SRR049369","UBERON:gingiva","5"
"1927.SRS065236.SRX020569.SRR049422","UBERON:tooth","5"
"1927.SRS063756.SRX020569.SRR049423","UBERON:palatine tonsil","2"
"1927.SRS046739.SRX020568.SRR049543","UBERON:tooth","5"
"1927.SRS058603.SRX020568.SRR049545","UBERON:gingiva","5"
"1927.SRS062616.SRX020532.SRR049571","UBERON:tooth","5"
"1927.SRS045215.SRX020540.SRR049628","UBERON:tooth","5"
"1927.SRS057046.SRX020568.SRR049640","UBERON:tooth","5"
"1927.SRS016054.SRX020539.SRR049860","UBERON:anterior nares","10"
"1927.SRS063697.SRX020548.SRR050136","UBERON:mouth","2"
"1927.SRS063931.SRX022228.SRR058091","UBERON:skin of elbow","3"
"1927.SRS014911.SRX020546.SRR043647","UBERON:buccal mucosa","7"
