"","Var1","Var2","Freq"
"1","1","UBERON:anterior nares",0
"2","2","UBERON:anterior nares",0
"3","3","UBERON:anterior nares",68
"4","4","UBERON:anterior nares",5
"5","5","UBERON:anterior nares",0
"6","6","UBERON:anterior nares",0
"7","7","UBERON:anterior nares",0
"8","8","UBERON:anterior nares",8
"9","9","UBERON:anterior nares",1
"10","10","UBERON:anterior nares",104
"11","11","UBERON:anterior nares",0
"12","12","UBERON:anterior nares",1
"13","13","UBERON:anterior nares",0
"14","14","UBERON:anterior nares",0
"15","15","UBERON:anterior nares",0
"16","1","UBERON:buccal mucosa",0
"17","2","UBERON:buccal mucosa",8
"18","3","UBERON:buccal mucosa",1
"19","4","UBERON:buccal mucosa",0
"20","5","UBERON:buccal mucosa",9
"21","6","UBERON:buccal mucosa",40
"22","7","UBERON:buccal mucosa",140
"23","8","UBERON:buccal mucosa",0
"24","9","UBERON:buccal mucosa",5
"25","10","UBERON:buccal mucosa",1
"26","11","UBERON:buccal mucosa",0
"27","12","UBERON:buccal mucosa",0
"28","13","UBERON:buccal mucosa",0
"29","14","UBERON:buccal mucosa",0
"30","15","UBERON:buccal mucosa",0
"31","1","UBERON:central vagina",0
"32","2","UBERON:central vagina",0
"33","3","UBERON:central vagina",7
"34","4","UBERON:central vagina",0
"35","5","UBERON:central vagina",0
"36","6","UBERON:central vagina",0
"37","7","UBERON:central vagina",1
"38","8","UBERON:central vagina",0
"39","9","UBERON:central vagina",0
"40","10","UBERON:central vagina",0
"41","11","UBERON:central vagina",0
"42","12","UBERON:central vagina",43
"43","13","UBERON:central vagina",13
"44","14","UBERON:central vagina",25
"45","15","UBERON:central vagina",9
"46","1","UBERON:feces",0
"47","2","UBERON:feces",0
"48","3","UBERON:feces",4
"49","4","UBERON:feces",205
"50","5","UBERON:feces",0
"51","6","UBERON:feces",1
"52","7","UBERON:feces",0
"53","8","UBERON:feces",0
"54","9","UBERON:feces",0
"55","10","UBERON:feces",0
"56","11","UBERON:feces",0
"57","12","UBERON:feces",0
"58","13","UBERON:feces",0
"59","14","UBERON:feces",0
"60","15","UBERON:feces",0
"61","1","UBERON:gingiva",0
"62","2","UBERON:gingiva",9
"63","3","UBERON:gingiva",1
"64","4","UBERON:gingiva",0
"65","5","UBERON:gingiva",6
"66","6","UBERON:gingiva",128
"67","7","UBERON:gingiva",59
"68","8","UBERON:gingiva",0
"69","9","UBERON:gingiva",0
"70","10","UBERON:gingiva",0
"71","11","UBERON:gingiva",1
"72","12","UBERON:gingiva",0
"73","13","UBERON:gingiva",0
"74","14","UBERON:gingiva",0
"75","15","UBERON:gingiva",0
"76","1","UBERON:hard palate",0
"77","2","UBERON:hard palate",42
"78","3","UBERON:hard palate",1
"79","4","UBERON:hard palate",1
"80","5","UBERON:hard palate",0
"81","6","UBERON:hard palate",44
"82","7","UBERON:hard palate",71
"83","8","UBERON:hard palate",0
"84","9","UBERON:hard palate",41
"85","10","UBERON:hard palate",0
"86","11","UBERON:hard palate",0
"87","12","UBERON:hard palate",0
"88","13","UBERON:hard palate",0
"89","14","UBERON:hard palate",0
"90","15","UBERON:hard palate",0
"91","1","UBERON:mouth",0
"92","2","UBERON:mouth",53
"93","3","UBERON:mouth",7
"94","4","UBERON:mouth",0
"95","5","UBERON:mouth",4
"96","6","UBERON:mouth",0
"97","7","UBERON:mouth",9
"98","8","UBERON:mouth",8
"99","9","UBERON:mouth",100
"100","10","UBERON:mouth",0
"101","11","UBERON:mouth",1
"102","12","UBERON:mouth",0
"103","13","UBERON:mouth",0
"104","14","UBERON:mouth",0
"105","15","UBERON:mouth",0
"106","1","UBERON:palatine tonsil",0
"107","2","UBERON:palatine tonsil",70
"108","3","UBERON:palatine tonsil",0
"109","4","UBERON:palatine tonsil",0
"110","5","UBERON:palatine tonsil",1
"111","6","UBERON:palatine tonsil",1
"112","7","UBERON:palatine tonsil",35
"113","8","UBERON:palatine tonsil",0
"114","9","UBERON:palatine tonsil",80
"115","10","UBERON:palatine tonsil",0
"116","11","UBERON:palatine tonsil",16
"117","12","UBERON:palatine tonsil",0
"118","13","UBERON:palatine tonsil",0
"119","14","UBERON:palatine tonsil",0
"120","15","UBERON:palatine tonsil",0
"121","1","UBERON:posterior fornix of vagina",0
"122","2","UBERON:posterior fornix of vagina",0
"123","3","UBERON:posterior fornix of vagina",9
"124","4","UBERON:posterior fornix of vagina",0
"125","5","UBERON:posterior fornix of vagina",0
"126","6","UBERON:posterior fornix of vagina",0
"127","7","UBERON:posterior fornix of vagina",0
"128","8","UBERON:posterior fornix of vagina",0
"129","9","UBERON:posterior fornix of vagina",0
